-627.868185,-800.915004,-689.911927,-1127.381711,-433.709670,-332.704861,-475.204547,-560.256139,-292.352582,-319.741134,-372.015574,-352.233005,-289.563393,-430.004530,-546.133181,-318.133812,-413.180255,-856.542261,-366.471839,1511.105990,-1219.581317,1317.827292,789.453057,858.549895,1072.742368,925.141404
-628.024833,-801.074705,-690.050813,-1127.632125,-433.737605,-332.702936,-475.254026,-560.324079,-292.344457,-319.751002,-372.034071,-352.243073,-289.554749,-430.033950,-546.191727,-318.130558,-413.204584,-856.699665,-366.512890,1513.093934,-1219.818921,1317.523010,789.151636,858.268325,1073.330356,924.739518
-628.054119,-801.107998,-690.076265,-1127.681375,-433.740986,-332.700447,-475.257521,-560.349296,-292.341536,-319.752813,-372.038643,-352.244028,-289.553348,-430.041777,-546.207799,-318.132298,-413.211826,-856.727245,-366.516214,1512.921313,-1219.876613,1317.441427,789.065540,858.181533,1074.153009,924.599144
-628.122899,-801.180594,-690.136959,-1127.793138,-433.752027,-332.698136,-475.275290,-560.387782,-292.336973,-319.757089,-372.047573,-352.247793,-289.549669,-430.056325,-546.237082,-318.132482,-413.224364,-856.795134,-366.531222,1513.412554,-1219.990376,1317.292173,788.911403,858.042402,1074.902424,924.377002
-628.122808,-801.184779,-690.136290,-1127.796071,-433.749753,-332.695509,-475.268193,-560.403119,-292.335234,-319.757019,-372.048909,-352.246635,-289.549917,-430.059148,-546.243348,-318.135355,-413.227645,-856.792799,-366.525817,1512.741222,-1220.006648,1317.260378,788.874638,858.003305,1075.779091,924.296769
-628.064124,-801.130993,-690.083584,-1127.706745,-433.736232,-332.692600,-475.239988,-560.398747,-292.335822,-319.753167,-372.043793,-352.241248,-289.553419,-430.051985,-546.230070,-318.140467,-413.223012,-856.730844,-366.502977,1511.071923,-1219.940505,1317.327514,788.935400,858.065223,1076.763180,924.336028
-628.127986,-801.198461,-690.139689,-1127.810350,-433.746291,-332.690312,-475.255913,-560.435696,-292.331552,-319.757223,-372.052294,-352.244705,-289.550122,-430.065813,-546.257736,-318.140935,-413.234962,-856.793549,-366.516634,1511.480584,-1220.046931,1317.193573,788.784369,857.928905,1077.522240,924.124855
-628.162330,-801.236851,-690.169701,-1127.867698,-433.750674,-332.687842,-475.261249,-560.462607,-292.328401,-319.759326,-372.057427,-352.246009,-289.548406,-430.074499,-546.275511,-318.142463,-413.242871,-856.826326,-366.521435,1511.390538,-1220.111949,1317.103049,788.688918,857.839790,1078.335281,923.973667
-628.201571,-801.280093,-690.204067,-1127.932765,-433.756001,-332.685396,-475.268350,-560.491165,-292.325053,-319.761743,-372.063099,-352.247664,-289.546416,-430.084018,-546.294920,-318.143803,-413.251441,-856.864089,-366.527692,1511.383611,-1220.183869,1317.004226,788.585245,857.742727,1079.139320,923.812456
-628.260434,-801.342735,-690.255852,-1128.028726,-433.765108,-332.683052,-475.282520,-560.526333,-292.320926,-319.765416,-372.070939,-352.250731,-289.543331,-430.096894,-546.320864,-318.144393,-413.262647,-856.921786,-366.539774,1511.709177,-1220.283398,1316.872274,788.442009,857.620628,1079.907392,923.611195
